,Company Name,Industry,Symbol
144,Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK
145,Escorts Kubota Ltd.,Capital Goods,ESCORTS
146,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND
147,FDC Ltd.,Healthcare,FDC
148,FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA
149,Federal Bank Ltd.,Financial Services,FEDERALBNK
150,Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT
151,Fine Organic Industries Ltd.,Chemicals,FINEORG
152,Finolex Cables Ltd.,Capital Goods,FINCABLES
153,Finolex Industries Ltd.,Capital Goods,FINPIPE
154,Firstsource Solutions Ltd.,Information Technology,FSL
155,Fortis Healthcare Ltd.,Healthcare,FORTIS
156,G R Infraprojects Ltd.,Construction,GRINFRA
157,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL
158,GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR
159,GMR Airports Infrastructure Ltd.,Services,GMRINFRA
160,Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF
